src,dst,bandwidth,path
3,1,750,3->1
2,0,600,2->0
3,2,150,3->2
0,3,750,0->3
3,0,750,3->2->1->0
0,1,300,call_loss
0,3,300,call_loss
1,0,150,1->0
2,0,450,2->0
3,0,450,call_loss
1,2,600,1->2
2,0,900,call_loss
2,1,600,2->3->1
2,3,300,2->3
3,1,1000,call_loss
3,2,1000,call_loss
0,1,150,0->1
1,3,750,call_loss
2,0,300,2->0
2,1,300,2->1
2,3,600,call_loss
3,0,150,3->1->0
3,1,150,3->1
3,2,450,call_loss
0,2,900,call_loss
3,0,450,call_loss
