# idx  nn_ms  mcf_ms
0  0.138950  3.333140
1  0.131498  3.349316
2  0.149586  3.288514
3  0.185321  3.358298
4  0.182340  3.920604
5  0.145675  4.285554
6  0.186305  3.966484
7  0.106822  3.862926
8  0.095561  4.043053
9  0.090545  5.707860
10  0.087945  5.573436
11  0.113152  4.255217
12  0.127452  3.578563
13  0.132154  3.436464
14  0.128493  3.354793
15  0.129339  3.463482
16  0.129058  3.568272
17  0.127952  3.326930
18  0.117784  3.264667
19  0.088765  3.255850
