# idx  SPF  NN_cont  NN_round  MCF
144  0.850226  0.654779  0.658527  0.654480
145  0.813524  0.644383  0.655998  0.643340
146  0.787714  0.632934  0.632384  0.632384
147  0.815695  0.647728  0.649242  0.647303
148  0.765737  0.617358  0.622830  0.616500
149  0.765944  0.616378  0.621877  0.615886
150  0.771152  0.613425  0.619011  0.613394
151  0.739145  0.598403  0.603965  0.598237
152  0.756675  0.605317  0.610497  0.605062
153  0.767936  0.611757  0.617242  0.611454
154  0.778744  0.624050  0.629612  0.623867
155  0.778846  0.616629  0.622687  0.616478
156  0.776726  0.616827  0.616677  0.616677
157  0.751987  0.597004  0.596947  0.596947
158  0.804625  0.633408  0.633406  0.633406
159  0.824056  0.646241  0.646185  0.646185
160  0.872338  0.673711  0.672955  0.672955
161  0.851551  0.673331  0.673083  0.673083
162  0.863861  0.682687  0.682404  0.682404
163  0.906185  0.715690  0.715625  0.715625
164  0.889918  0.705120  0.704937  0.704937
165  0.946054  0.742363  0.742350  0.742350
166  0.962761  0.747579  0.747425  0.747425
167  0.960502  0.752927  0.752691  0.752691
168  0.963417  0.766701  0.766409  0.766409
169  1.010818  0.792860  0.792742  0.792742
170  1.101583  0.845933  0.845068  0.845068
171  1.128529  0.876176  0.876151  0.876151
172  1.176366  0.908700  0.908686  0.908686
173  1.199215  0.916495  0.916181  0.916181
174  1.260640  0.949190  0.948871  0.948871
175  1.289428  0.979906  0.979801  0.979801
176  1.306966  1.000474  1.000463  1.000463
177  1.418318  1.073198  1.073061  1.073061
178  1.431136  1.098205  1.098043  1.098043
179  1.453262  1.089975  1.089779  1.089779
180  1.490864  1.124198  1.124173  1.124173
181  1.531317  1.160460  1.160413  1.160413
182  1.594478  1.205904  1.205785  1.205785
183  1.554167  1.195387  1.195236  1.195236
184  1.599167  1.223847  1.223659  1.223659
185  1.669444  1.244925  1.244556  1.244556
186  1.657173  1.246969  1.246908  1.246908
187  1.699705  1.278780  1.278460  1.278460
188  1.698933  1.275553  1.275287  1.275287
189  1.749601  1.310348  1.310187  1.310187
190  1.693725  1.276721  1.276620  1.276620
191  1.758298  1.335440  1.335262  1.335262
192  1.766395  1.334257  1.334101  1.334101
193  1.830076  1.362688  1.362477  1.362477
194  1.744990  1.317416  1.317360  1.317360
195  1.833814  1.394040  1.394020  1.394020
196  1.831798  1.381346  1.381031  1.381031
197  1.814198  1.389343  1.389031  1.389031
198  1.794149  1.397818  1.425917  1.367473
199  1.776331  1.346237  1.362405  1.346102
